S.No,Showroom,RSM,ASM,Manager,"CUG No",Landline,E-Mail,Region,State,Address
1,"CORPORATE - BGLR",,,"Balraj M",08042524252,080-42524252,NA,BANGALORE,KARNATAKA,"No : B/7,17th First Main Road  
5th Block, KHB Colony,
Koramangala, 
Bangalore
560095
"
2,KA-ANEKAL,"Saravanan T","Balaji P","Not Decide",8754428855,,anekaltown@poorvika.com,BANGALORE,KARNATAKA,"No: 87/554/A, Gandhi Circle, Anekal Town, Bangalore â€“ 562 106"
3,KA-AREKERE,"Saravanan T","Not Decide","Not Decide",9384005855,,arekere@poorvika.com,BANGALORE,KARNATAKA,"	No. 266, 4th Main,Brindavan Extension,Arekere Micro Layout,Bannerghatta Road,Bangalore â€“ 560076."
4,"KA-AREKERE 2","Saravanan T","Not Decide","Not Decide",7338956855,,arekere2@poorvika.com,BANGALORE,KARNATAKA,"Katha No. 702/1353/1312/13/8,BG road, Begur Hobli,Arekere village,Bangalore -560077."
5,KA-BANASHANKARI,"Saravanan T","Saravanaraj R","Siva Kumar K",8884508855,080-41251788,banashankari@poorvika.com,BANGALORE,KARNATAKA,"No:17, Srinivasa Nagar, 2nd Phase, BSK 3rd Stage, (Near:Reliance Fresh) Bangalore - 560 070"
6,"KA-BANASHANKARI-PADMANABHA NAGAR","Saravanan T","Saravanaraj R","Kiran Kumar M J",9003501855,,Padmanabhanagar@poorvika.com,BANGALORE,KARNATAKA,"No 271,100 Feet Road, Banashankari 3rd Stage,Padmanabha Nagar,Bangalore  â€“ 560085
"
7,KA-BANASWADI,,,,,,,BANGALORE,KARNATAKA,
8,KA-BASAVANAGUDI,"Saravanan T","Saravanaraj R","Tamilarasan P",8884078855,080-41690804,basavangudi@poorvika.com,BANGALORE,KARNATAKA,"No:105/1, Gandhi Bazaar Main Road, Basavanagudi, (Near: Vijaya Bank) Bangalore - 560 004"
9,"KA-BASAVESHWARA NAGAR","Saravanan T","Zaheer Ahmed S","Karthik S",9741864855,080-42035836,basaveshwaranagar@poorvika.com,BANGALORE,KARNATAKA,"NO: 18/HIG,
K.N.S. COMPLEX,
KHB COLONY,
BASAWESHWARA NAGAR,
BANGALORE -560 079.
"
10,"KA-BEL ROAD","Saravanan T","Rajiv Gandhi C","Rudramuni K G",9740634855,"080 - 41239879",belroad@poorvika.com,BANGALORE,KARNATAKA,"No: 110, Agâ€™S Layout
New Bel Main Road,
Sanjay Nagar Ward,
Opp: Vodafone Store,
Bangalore -560 094.

"
11,KA-BELGAUM,"Saravanan T","Venkatesh G","Mahadeva Reddy T",9840361855,,belgaum@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"CTS No.3462,
Samadevi Galli, 
Belagavi, Karnataka- 590001
"
12,"KA-BELGAUM RPD CIRCLE","Saravanan T","Not Decide","Not Decide",8056048855,,belgaum3@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Ashraya Empire, Cts No 11, Shop No 7,8,9,10,11, Khanapur Road, Landmark RPD Circle, Tilakwadi, Belagavi, Karnataka â€“ 590 006"
13,KA-BELLARY,"Saravanan T",,,9566241855,,bellary@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.1,2,47/68,48/70/A & 1,2,48/70,47/68B, Bellary Broose Pet, Bangalore Road, Papsula Bazar, Bellary â€“ 583101"
14,"KA-BELLARY 2","Saravanan T","Not Decide","Not Decide",7358602855,,bellary2@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Old No.5/16, New No.48/c, Khata No.115/90A/58B, Station Road, Opp: Taluk Office, Bellary, Karnataka â€“ 583101"
15,KA-BHADRAVATHI,"Saravanan T",,"Pavankumar N",9384674855,,Bhadravathi@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Khata No.464/505, Ward No.16, B.H.Road, Bhadravathi, Karnataka-577301"
16,KA-BIDAR,"Saravanan T",,,"6385162855 ",,NA,"REST OF KARNATAKA",KARNATAKA,"Sri Shivakala Complex, No.8-9-274 to 8-9-277, Udgir Road Opp: Akka Mahadevi College, Beside: Guru Nanak Gate, Bidar-585401"
17,KA-BILEKAHALLI,"Saravanan T","Yuvaraj J","Palaniappan K",9108283855,"080 - 48664406",bilekhalli@poorvika.com,BANGALORE,KARNATAKA,"No.214/2, Sy.no.9/1, Bilekhalli, Begur Hobli, Bannerghatta Main Road, Bangalore- 560076.
"
18,KA-BOMMANAHALLI,"Saravanan T","Yuvaraj J","Sabarinathan D",9108284855,"080 - 48664405",2bommanahalli@poorvika.com,BANGALORE,KARNATAKA,"Old No.1/2, House List.363/37, New No.363/37/1/2, Begur Main Road, Opposite to Canara Bank, Bommanahalli, Bangalore-560068"
19,"KA-BOMMANAHALLI 3","Saravanan T","Not Decide","Not Decide",9790496855,,"	bommanahalli3@poorvika.com",BANGALORE,KARNATAKA,"Katha No.111/1, New No 29, Old No 49, Hosur Road, Bommanahalli, Bangalore â€“ 560068"
20,"KA-BTM LAYOUT 2ND STAGE","Saravanan T","Yuvaraj J","Vasanth P",8971982855,080-42058462,2btmlayout@poorvika.com,BANGALORE,KARNATAKA,"No: 3-4,7th cross, 7th Main,
Btm layout 2nd stage, 
Bangalore - 560076
"
21,KA-CHANDAPURA,"Saravanan T","Not Decide","Not Decide",9384019855,,chandapura@poorvika.com,BANGALORE,KARNATAKA,"No.274/275,Anekal Road,Chandapura,Bangalore â€“ 560099"
22,"KA-CHANDRA LAYOUT","Saravanan T","Zaheer Ahmed S","Gopinath J",9791070855,,chandralayout@poorvika.com,BANGALORE,KARNATAKA,"Municipal No.98, PID No.40-187-98, BDA Site No.98, Chandra Layout, Survey No.349 to 352, Bangalore-560040.
"
23,KA-CHANNARAYAPATANA,"Saravanan T","Prabhakaran D","Not Decide","7540006855 ",,channarayapatana@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Prabhath Complex"", Municipal Khata No.659/616, SAS No.377, Municipal Khata No.659/616, SAS No.243, B.M.Road, Opp to KSRTC Bus Stand, TMC Ward No.05, Channarayapatana-573116"
24,KA-CHIKMAGALUR,"Saravanan T","Prabhakaran D","Chethana B N",9629419855,,chikmagalur@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"""Ward no.16, Assessment no.5379/3729, OPP : KANNIGA PARAMESHWARI TEMPLE,M.G.Road, Chikmagalur - 577101
""
"
25,KA-CHITRADURGA,"Saravanan T","Venkatesh G","Dinesh S",9789084855,,Chitradurga@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.7398A, Bangalore - Dharwad Road, Chitradurga, Karnataka-577501
"
26,"KA-CITY MARKET","Saravanan T","Saravanaraj R","Mohammed Salman M A",8197371855,080-41515855,citymarketbglr@poorvika.com,BANGALORE,KARNATAKA,"New No: 2, Old No: 108,Silver Jubliee Park Road,Bangalore -560 002
"
27,"KA-CMH ROAD","Saravanan T","Sankarguru V","Gnaneshwaran R",9790829855,,cmhroad@poorvika.com,BANGALORE,KARNATAKA,"PID no.82-1-N-7 & 82-1-N-8, Municiapl new no.8, 8th Edifice, C.M.H.Road, Binnamangala 1st stage, Bangalore-560038
"
28,KA-DAVANAGERE,,,,,,NA,BANGALORE,KARNATAKA,NA
29,KA-DHASARAHALLI,"Saravanan T","Prabakaran G","Ameena S",7338951855,,dhasarahalli@poorvika.com,BANGALORE,KARNATAKA,"Site No.1, Khata No.972, Dasarahalli, Yeswanthpura Hobli, Karnataka, Bangalore-560057
"
30,"KA-ELECTRONIC CITY","Saravanan T","Yuvaraj J","Murugan S M",9629501855,,electroniccity@poorvika.com,BANGALORE,KARNATAKA,"Site No.7, Khata No.1777/3/7, Old V.P.Khata No.162/163, Doddathoguru Village, Begur Hobli, Bangalore South Taluk, Bangalore-560100.
"
31,"KA-ELECTRONIC CITY 2","Saravanan T","Balaji P","Not Decide",9384003855,00,electroniccity2@poorvika.com,BANGALORE,KARNATAKA,"No.2066,Shree Ananthnagar Phase 2 Layout,Kammasandra Village,Anekal Taluk,Bangalore â€“ 560100"
32,"KA-FRAZER TOWN","Saravanan T","Venkatesh G","Dhakshinamoorthi M",9902932855,080-41235855,frazertown@poorvika.com,BANGALORE,KARNATAKA,"No: 94, Mosque Road,
Frazer Town, 
Near : Jammu & Kashmir Bank,
Near : Albert Bakery,
Bangalore -560 005
"
33,KA-GADAG,,,,,,NA,BANGALORE,KARNATAKA,NA
34,KA-GOKAK,"Not Decide","Not Decide","Not Decide",*,*,*,"REST OF KARNATAKA",KARNATAKA,-
35,KA-GOLLARAHATTI,"Saravanan T","Not Decide","Not Decide",9790317855,,gollarahatti@poorvika.com,BANGALORE,KARNATAKA,"No.16/1, Katha No.93/123, Magadi Main Road, Near: Shree Krishna Hospital, Gollarahatti, Bangalore â€“ 560091"
36,KA-GULBARGA,"Saravanan T","Venkatesh G","Shanmugam M",7338956855,,Gulbarga@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Plot No 2, Super Market Main Road, Opp Canara Bank, Gulbarga  â€“ 585101
"
37,"KA-GULBARGA 2","Saravanan T",,,"6385166855 ",,Gulbarga2@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Plot No.31, Super Market Road,Opp :Brampur Police Station,Gulbarga, Karnataka-585101"
38,KA-HASSAN,,,,,,NA,"REST OF KARNATAKA",KARNATAKA,NA
39,KA-HAVERI,,,"Gaddapara Madhava",,,NA,"REST OF KARNATAKA",KARNATAKA,NA
40,KA-HEBBAGODI,"Not Decide","Not Decide","Not Decide",,,,BANGALORE,KARNATAKA,
41,KA-HORAMAVU,"Saravanan T","Prabhakaran D","Basith Ali M",9108066855,080-48541155,horamavu@poorvika.com,BANGALORE,KARNATAKA,"NO: 1 & 2, ASHIRWAD COLONY, HORAMAVU MAIN ROAD, 
OPP: HOME BUZZ SUPER MARKET, HORAMAVU,
BANGALORE â€“ 560 043.
"
42,KA-HOSPET,"Saravanan T","Venkatesh G","Dinesh S",7338926855,,Hospet@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.272, 273 & 274, ""Rajapur Heights"", Near Bus Stand, College Road, Hospet â€“ 583201
"
43,"KA-HSR LAYOUT","Saravanan T","Yuvaraj J","Iliyas B",7338725855,"080 - 49777855",hsrlayout@poorvika.com,BANGALORE,KARNATAKA,"No.2630, HSR Layout, Sector-1, 27TH MANI Opp: CPWD Quarters,Near: Gold Gym Bangalore â€“ 560102.
"
